test_name,data_idx,reconstruct_id,source_label,include_audio,targetAudioShare,audio_R_native,audio_SSE_native,audio_R2_native,p_SSE_audio
H1_trimodal_AUD_MR_VID,9,3,MRVID,1,0.15,0.887629833872142,3.16040759829351,0.459759384907093,0.00199600798403194
H1_trimodal_AUD_MR,9,3,MR,1,0.15,0.665631476452812,4.84572584925968,0.171670794998345,0.00798403193612774
H1_trimodal_AUD_VID,9,3,VID,1,0.15,0.848624851376086,3.97980123231589,0.319692097040019,0.00199600798403194
H1_trimodal_AUD_MR_VID,1,3,MRVID,1,0.15,0.943214936141808,1.29946757949787,0.701271820805088,0.00199600798403194
H1_trimodal_AUD_MR,1,3,MR,1,0.15,0.896232374833371,2.44573880665937,0.437761193871409,0.00199600798403194
H1_trimodal_AUD_VID,1,3,VID,1,0.15,0.897249073796778,2.70481255179367,0.378204011081914,0.00199600798403194
H1_trimodal_AUD_MR_VID,5,3,MRVID,1,0.15,0.962842173429029,2.46320831611235,0.567858190155729,0.00199600798403194
H1_trimodal_AUD_MR,5,3,MR,1,0.15,0.843479247071768,3.86299659745514,0.322281298692081,0.00199600798403194
H1_trimodal_AUD_VID,5,3,VID,1,0.15,0.84640843428402,4.03793731243519,0.291589945186808,0.383233532934132
H1_trimodal_AUD_MR_VID,6,3,MRVID,1,0.15,0.933214269237515,3.47233601477955,0.496762896408762,0.00199600798403194
H1_trimodal_AUD_MR,6,3,MR,1,0.15,0.848293042859642,5.09599290161142,0.261450304114287,0.00199600798403194
H1_trimodal_AUD_VID,6,3,VID,1,0.15,0.841081006064088,4.99897639332413,0.275510667634184,0.00199600798403194
H1_trimodal_AUD_MR_VID,7,3,MRVID,1,0.15,0.918821524439873,2.96860393550749,0.560206824369261,0.00199600798403194
H1_trimodal_AUD_MR,7,3,MR,1,0.15,0.844100698965322,4.66174294290541,0.309371415865864,0.00199600798403194
H1_trimodal_AUD_VID,7,3,VID,1,0.15,0.848841231337077,4.64388825724242,0.312016554482604,0.00199600798403194
H1_trimodal_AUD_MR_VID,8,3,MRVID,1,0.15,0.935592785565758,3.33316987552,0.516931902098551,0.00199600798403194
H1_trimodal_AUD_MR,8,3,MR,1,0.15,0.84566437262121,5.02662834069992,0.271503139028997,0.00199600798403194
H1_trimodal_AUD_VID,8,3,VID,1,0.15,0.851222867097918,4.89990722281638,0.289868518432408,0.00199600798403194
H1_trimodal_AUD_MR_VID,10,3,MRVID,1,0.15,0.950269365582703,2.06781703748339,0.627420353606596,0.00199600798403194
H1_trimodal_AUD_MR,10,3,MR,1,0.15,0.874375819010752,3.24339103124173,0.415605219596085,0.00199600798403194
H1_trimodal_AUD_VID,10,3,VID,1,0.15,0.820114575171519,4.01825467854174,0.275990148010497,0.994011976047904
H1_trimodal_AUD_MR_VID,11,3,MRVID,1,0.15,0.841804579681158,5.5051113654185,0.367228578687529,0.00199600798403194
H1_trimodal_AUD_MR,11,3,MR,1,0.15,0.631166003962272,7.30202433123874,0.160686858478306,0.00199600798403194
H1_trimodal_AUD_VID,11,3,VID,1,0.15,0.79519643280741,6.72450733240613,0.227068122711939,0.00598802395209581
H1_trimodal_AUD_MR_VID,12,3,MRVID,1,0.15,0.892221674440593,3.43280385958631,0.46778234735096,0.00199600798403194
H1_trimodal_AUD_MR,12,3,MR,1,0.15,0.747662820441283,4.82934522867511,0.251264305631766,0.00199600798403194
H1_trimodal_AUD_VID,12,3,VID,1,0.15,0.719563495268123,4.88237895174233,0.243042022985685,0.3812375249501
H1_trimodal_AUD_MR_VID,13,3,MRVID,1,0.15,0.869863341179774,4.0162686452773,0.453568891799007,0.00199600798403194
H1_trimodal_AUD_MR,13,3,MR,1,0.15,0.735701078590791,5.66393812251705,0.229396173807204,0.00199600798403194
H1_trimodal_AUD_VID,13,3,VID,1,0.15,0.831627179372999,5.41457943595626,0.263322525720237,0.00199600798403194
H1_trimodal_AUD_MR_VID,14,3,MRVID,1,0.15,0.883037825411974,4.29602401240027,0.427196798346631,0.00199600798403194
H1_trimodal_AUD_MR,14,3,MR,1,0.15,0.756527232972144,5.96768214863487,0.204309046848684,0.00199600798403194
H1_trimodal_AUD_VID,14,3,VID,1,0.15,0.805196141265818,5.6026575150361,0.252978997995186,0.00199600798403194
H1_trimodal_AUD_MR_VID,18,3,MRVID,1,0.15,0.947265984357285,1.32261845675162,0.685090843630566,0.00199600798403194
H1_trimodal_AUD_MR,18,3,MR,1,0.15,0.832068650992481,2.47143353905071,0.411563443083164,0.00199600798403194
H1_trimodal_AUD_VID,18,3,VID,1,0.15,0.867507437512082,2.68520464053158,0.360665561778196,0.403193612774451
